f1,false_count,false_rate,match_distance_px_mean,match_distance_px_p95,matched_count,missed_count,noise,precision,pred_count,raw_peaks,recall,sample_id,sigma,target_count,threshold
0.08370644344948414,4650,0.9558067831449126,1.1068100929260254,2.7222703456878654,215,57,56.875115890502926,0.044193216855087356,4865,4868,0.7904411764705882,sample_000550,2.0,272,112.28886989593505
0.05187383228926255,8591,0.9732638495525093,1.1587936878204346,2.8199012875556946,236,36,56.875115890502926,0.026736150447490652,8827,8833,0.8676470588235294,sample_000550,1.5,272,83.8513119506836
0.49370277078085645,0,0.0,0.8355446457862854,1.3745449066162108,98,201,56.84908849639892,1.0,98,98,0.3277591973244147,sample_000596,5.0,299,282.6955679378509
0.54627539503386,23,0.1597222222222222,0.8542712926864624,1.4450944662094116,121,178,56.84908849639892,0.8402777777777778,144,144,0.40468227424749165,sample_000596,4.0,299,225.846479441452
0.32868525896414347,540,0.7659574468085106,1.0228767395019531,2.3575192451477003,165,134,56.84908849639892,0.23404255319148937,705,705,0.5518394648829431,sample_000596,3.0,299,168.9973909450531
0.16531049250535332,1843,0.9052062868369352,1.0590319633483887,2.3567987918853737,193,106,56.84908849639892,0.09479371316306483,2036,2036,0.6454849498327759,sample_000596,2.5,299,140.57284669685362
0.09104998062766369,4628,0.9516759202138597,1.1916340589523315,3.056812047958374,235,64,56.84908849639892,0.04832407978614024,4863,4864,0.7859531772575251,sample_000596,2.0,299,112.14830244865416
0.05714913726783163,8540,0.9704545454545455,1.2552473545074463,3.055899500846863,260,39,56.84908849639892,0.029545454545454545,8800,8802,0.8695652173913043,sample_000596,1.5,299,83.72375820045471
0.4632516703786192,0,0.0,0.7918062210083008,1.3757721364498137,104,241,57.56867072296142,1.0,104,104,0.30144927536231886,sample_000756,5.0,345,286.3484475469589
0.5625,23,0.1377245508982036,0.8481297492980957,1.5410463869571684,144,201,57.56867072296142,0.8622754491017964,167,167,0.41739130434782606,sample_000756,4.0,345,228.77977682399748
0.3487738419618528,564,0.746031746031746,0.9444114565849304,1.7935643970966335,192,153,57.56867072296142,0.25396825396825395,756,756,0.5565217391304348,sample_000756,3.0,345,171.21110610103605
0.19718309859154928,1831,0.8849685838569357,1.022218942642212,2.025661933422088,238,107,57.56867072296142,0.11503141614306428,2069,2069,0.6898550724637681,sample_000756,2.5,345,142.42677073955534
0.10678320349610487,4637,0.9428629524196828,1.1326792240142822,2.5715978145599365,281,64,57.56867072296142,0.0571370475803172,4918,4918,0.8144927536231884,sample_000756,2.0,345,113.64243537807464
0.06620477290223249,8447,0.9655921353452218,1.1932823657989502,2.6548683643341064,301,44,57.56867072296142,0.034407864654778235,8748,8748,0.8724637681159421,sample_000756,1.5,345,84.85810001659392
